datasetID	vocabulary	triples
74	http://www.w3.org/2000/01/rdf-schema#	2
74	http://www.w3.org/ns/dcat#	1
74	publishmydata.com	4
75	http://purl.org/dc/terms/	9
75	http://rdfs.org/ns/void#	3
75	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
75	http://www.w3.org/2000/01/rdf-schema#	2
75	http://www.w3.org/ns/dcat#	1
75	publishmydata.com	4
76	http://purl.org/dc/terms/	9
76	http://rdfs.org/ns/void#	3
76	http://www.w3.org/1999/02/22-rdf-syntax-ns#	2
76	http://www.w3.org/2000/01/rdf-schema#	2
76	http://www.w3.org/ns/dcat#	1
76	publishmydata.com	4
77	http://purl.org/linked-data/cube#	346
77	http://purl.org/linked-data/sdmx/2009/dimension#	346
77	http://www.w3.org/1999/02/22-rdf-syntax-ns#	173
77	http://www.w3.org/2000/01/rdf-schema#	173
77	opendatacommunities.org	686
78	http://purl.org/linked-data/cube#	168
78	http://purl.org/linked-data/sdmx/2009/attribute#	1
78	http://purl.org/linked-data/sdmx/2009/dimension#	168
78	http://www.w3.org/1999/02/22-rdf-syntax-ns#	84
78	http://www.w3.org/2000/01/rdf-schema#	84
78	opendatacommunities.org	168
79	http://purl.org/linked-data/cube#	334
79	http://purl.org/linked-data/sdmx/2009/dimension#	334
79	http://www.w3.org/1999/02/22-rdf-syntax-ns#	167
79	http://www.w3.org/2000/01/rdf-schema#	167
79	opendatacommunities.org	654
80	http://purl.org/linked-data/cube#	166
80	http://purl.org/linked-data/sdmx/2009/dimension#	166
80	http://www.w3.org/1999/02/22-rdf-syntax-ns#	83
80	http://www.w3.org/2000/01/rdf-schema#	83
80	opendatacommunities.org	83
81	http://purl.org/dc/terms/	8
81	http://purl.org/linked-data/cube#	1920
81	http://rdfs.org/ns/void#	3
81	http://www.w3.org/1999/02/22-rdf-syntax-ns#	961
81	http://www.w3.org/2000/01/rdf-schema#	2
81	http://www.w3.org/ns/dcat#	1
81	opendatascotland.org	2880
81	publishmydata.com	3
82	http://purl.org/linked-data/cube#	332
82	http://purl.org/linked-data/sdmx/2009/dimension#	332
82	http://www.w3.org/1999/02/22-rdf-syntax-ns#	166
82	http://www.w3.org/2000/01/rdf-schema#	166
82	opendatacommunities.org	166
83	http://purl.org/linked-data/cube#	168
