startDatasetID	destDatasetID	predicate	triples
154	657	http://www.geonames.org/ontology#parentADM1	119
154	657	http://www.geonames.org/ontology#parentADM2	117
154	657	http://www.geonames.org/ontology#parentADM3	118
154	657	http://www.geonames.org/ontology#featureCode	120
154	305	http://purl.org/goodrelations/v1#category	235
154	657	http://www.geonames.org/ontology#featureClass	120
155	952	http://xmlns.com/foaf/0.1/mbox	8
155	842	http://www.w3.org/2007/05/powder-s#describedby	368
155	992	http://www.w3.org/1999/02/22-rdf-syntax-ns#rest	16
155	499	http://www.w3.org/2007/05/powder-s#describedby	36
156	764	http://www.w3.org/2002/07/owl#sameAs	1
156	271	http://diwis.imis.athena-innovation.gr/DIANAterms.rdf#species	2000
16	263	http://purl.org/dc/terms/publisher	1
16	247	http://opendatacommunities.org/def/ontology/geography/refArea	85
16	263	http://opendatacommunities.org/def/ontology/time/refPeriod	85
16	247	http://purl.org/dc/terms/spatial	1
160	179	http://www.w3.org/2002/07/owl#sameAs	3
160	173	http://www.w3.org/2002/07/owl#equivalentClass	14
160	986	http://xmlns.com/foaf/0.1/depiction	90
160	525	http://xmlns.com/foaf/0.1/based_near	68
160	986	http://xmlns.com/foaf/0.1/maker	2367
160	986	http://www.w3.org/2002/07/owl#sameAs	29
160	986	http://www.w3.org/2004/02/skos/core#inScheme	301
160	986	http://www.w3.org/2002/07/owl#equivalentClass	3
160	863	http://www.w3.org/2002/07/owl#equivalentClass	14
160	986	http://www.w3.org/2004/02/skos/core#hasTopConcept	14
160	657	http://www.w3.org/2002/07/owl#sameAs	2
160	657	http://www.w3.org/2002/07/owl#equivalentClass	14
160	986	http://purl.org/dc/terms/publisher	2367
160	173	http://www.w3.org/2000/01/rdf-schema#seeAlso	1
160	863	http://www.w3.org/2000/01/rdf-schema#subClassOf	14
160	750	http://www.w3.org/2002/07/owl#sameAs	5
160	750	http://www.w3.org/2002/07/owl#equivalentClass	2301
160	525	http://www.w3.org/2002/07/owl#sameAs	3
160	750	http://www.w3.org/2004/02/skos/core#hasTopConcept	14
160	657	http://xmlns.com/foaf/0.1/based_near	75
160	750	http://xmlns.com/foaf/0.1/based_near	17
161	900	http://www.w3.org/2002/07/owl#sameAs	38
161	900	http://creativecommons.org/ns#morePermissions	2
161	750	http://www.w3.org/2002/07/owl#sameAs	3
161	900	http://ec.europa.eu/eurostat/ramon/ontologies/legislation.rdf#hyperlink	932
161	657	http://www.w3.org/2002/07/owl#sameAs	40
162	888	http://purl.org/dc/elements/1.1/language	31
162	750	http://wiktionary.dbpedia.org/terms/hasPoS	31
162	750	http://www.w3.org/2002/07/owl#sameAs	28
162	750	http://www.w3.org/2000/01/rdf-schema#seeAlso	26
163	750	http://www.w3.org/2002/07/owl#sameAs	20
