datasetID	subjects	triples
934	3411	13740
935	1	5
936	2	16
937	6	12
938	110	623
939	18443	281670
940	759	5426
941	14	140
942	39	358
943	1162	4364
944	5139	14982
945	7	30
946	18	83
947	7	28
948	10	59
949	20	104
950	15	54
951	3	10
952	2913	22553
953	10	80
954	28590	119815
955	16	98
956	11	73
957	11	51
958	35	265
959	2	3
960	17	95
961	5	26
962	19	59
963	2	17
964	6	44
965	14899	95416
966	1	32
967	7	36
968	8099	99238
969	15374	52274
970	481	2537
971	419	2883
972	15201	140270
973	10	93
974	12	63
975	19	50
976	9	55
977	30	144
978	4	16
979	26	151
980	47690	949723
981	5	48
982	2	16
983	1	1
984	21	132
985	53	240
986	60	122
987	7	57
988	10	90
989	17	138
990	15008	165096
991	14	76
992	21966	98177
993	7	48
994	18	103
995	1896	15241
996	5	30
997	5	25
998	3	8
999	14	90
1000	40	263
1001	2	37
1002	19155	209475
1003	120	887
1004	6683	22323
1005	2856	22274
1006	8	40
1007	400858	1333352
1008	529418	791729
1009	1584	6543
1010	9	133
1011	235	1116
1012	241	493
1013	554	1566
